Season,Episode,Title,Rating,Star_1,Star_2,Star_3,Critics_reviews,Duration,Views
1,1,Winter Is Coming,9.1,Sean Bean,Mark Addy,Nikolaj Coster-Waldau,30,62,2.22
1,2,The Kingsroad,8.8,Sean Bean,Mark Addy,Nikolaj Coster-Waldau,28,56,2.2
1,3,Lord Snow,8.7,Sean Bean,Mark Addy,Nikolaj Coster-Waldau,29,58,2.44
1,4,"Cripples, Bastards, and Broken Things",8.8,Sean Bean,Mark Addy,Nikolaj Coster-Waldau,26,56,2.45
1,5,The Wolf and the Lion,9.1,Sean Bean,Mark Addy,Nikolaj Coster-Waldau,26,55,2.58
1,6,A Golden Crown,9.2,Sean Bean,Mark Addy,Michelle Fairley,26,53,2.44
1,7,You Win or You Die,9.2,Sean Bean,Mark Addy,Nikolaj Coster-Waldau,27,58,2.4
1,8,The Pointy End,9,Sean Bean,Michelle Fairley,Lena Headey,26,59,2.72
1,9,Baelor,9.6,Sean Bean,Michelle Fairley,Nikolaj Coster-Waldau,29,57,2.66
1,10,Fire and Blood,9.5,Sean Bean,Michelle Fairley,Nikolaj Coster-Waldau,29,53,03.04
2,1,The North Remembers,8.8,Peter Dinklage,Lena Headey,Nikolaj Coster-Waldau,29,53,3.86
2,2,The Night Lands,8.5,Peter Dinklage,Lena Headey,Emilia Clarke,25,54,3.76
2,3,What Is Dead May Never Die,8.8,Peter Dinklage,Lena Headey,Michelle Fairley,25,53,3.77
2,4,Garden of Bones,8.8,Peter Dinklage,Michelle Fairley,Emilia Clarke,24,51,3.65
2,5,The Ghost of Harrenhal,8.8,Peter Dinklage,Lena Headey,Michelle Fairley,25,55,3.9
2,6,The Old Gods and the New,9.1,Peter Dinklage,Lena Headey,Michelle Fairley,25,54,3.88
2,7,A Man Without Honor,8.9,Peter Dinklage,Lena Headey,Nikolaj Coster-Waldau,24,56,3.69
2,8,The Prince of Winterfell,8.8,Peter Dinklage,Lena Headey,Nikolaj Coster-Waldau,25,54,3.86
2,9,Blackwater,9.7,Peter Dinklage,Lena Headey,Charles Dance,24,55,3.38
2,10,Valar Morghulis,9.4,Peter Dinklage,Lena Headey,Nikolaj Coster-Waldau,24,64,4.2
3,1,Valar Dohaeris,8.8,Peter Dinklage,Lena Headey,Emilia Clarke,36,55,4.37
3,2,"Dark Wings, Dark Words",8.6,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,30,56,4.27
3,3,Walk of Punishment,8.9,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,29,56,4.72
3,4,And Now His Watch Is Ended,9.6,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,28,53,4.87
3,5,Kissed by Fire,9,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,30,57,5.35
3,6,The Climb,8.8,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,27,53,5.5
3,7,The Bear and the Maiden Fair,8.7,Peter Dinklage,Nikolaj Coster-Waldau,Emilia Clarke,27,58,4.84
3,8,Second Sons,9,Peter Dinklage,Lena Headey,Emilia Clarke,30,56,5.13
3,9,The Rains of Castamere,9.9,Emilia Clarke,Kit Harington,Richard Madden,29,51,5.22
3,10,Mhysa,9.2,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,29,63,5.39
4,1,Two Swords,9.1,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,38,58,6.64
4,2,The Lion and the Rose,9.7,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,34,52,6.31
4,3,Breaker of Chains,8.9,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,32,57,6.59
4,4,Oathkeeper,8.8,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,32,55,6.95
4,5,First of His Name,8.7,Nikolaj Coster-Waldau,Lena Headey,Emilia Clarke,31,53,7.16
4,6,The Laws of Gods and Men,9.7,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,29,51,6.4
4,7,Mockingbird,9.1,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,27,51,7.2
4,8,The Mountain and the Viper,9.7,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,28,52,7.17
4,9,The Watchers on the Wall,9.6,Kit Harington,John Bradley,Hannah Murray,27,51,6.95
4,10,The Children,9.7,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,26,65,07.09
5,1,The Wars to Come,8.5,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,45,53,8
5,2,The House of Black and White,8.5,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,36,56,6.81
5,3,High Sparrow,8.5,Peter Dinklage,Lena Headey,Kit Harington,36,60,6.71
5,4,Sons of the Harpy,8.7,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,35,51,6.82
5,5,Kill the Boy,8.6,Peter Dinklage,Emilia Clarke,Kit Harington,35,57,6.56
5,6,"Unbowed, Unbent, Unbroken",8,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,37,54,6.24
5,7,The Gift,9,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,37,59,5.4
5,8,Hardhome,9.9,Peter Dinklage,Lena Headey,Emilia Clarke,36,61,07.01
5,9,The Dance of Dragons,9.5,Peter Dinklage,Nikolaj Coster-Waldau,Emilia Clarke,34,52,7.14
5,10,Mother's Mercy,9.1,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,35,60,8.11
6,1,The Red Woman,8.5,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,52,50,7.94
6,2,Home,9.4,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,49,54,7.29
6,3,Oathbreaker,8.7,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,48,52,7.28
6,4,Book of the Stranger,9.1,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,47,59,7.82
6,5,The Door,9.7,Peter Dinklage,Emilia Clarke,Kit Harington,46,57,7.89
6,6,Blood of My Blood,8.4,Nikolaj Coster-Waldau,Lena Headey,Emilia Clarke,40,52,6.71
6,7,The Broken Man,8.6,Nikolaj Coster-Waldau,Lena Headey,Kit Harington,43,51,7.8
6,8,No One,8.4,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,43,59,7.6
6,9,Battle of the Bastards,9.9,Peter Dinklage,Kit Harington,Emilia Clarke,49,60,7.66
6,10,The Winds of Winter,9.9,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,46,68,8.89
7,1,Dragonstone,8.6,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,66,59,10.11
7,2,Stormborn,8.9,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,55,59,9.27
7,3,The Queen's Justice,9.2,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,53,63,9.25
7,4,The Spoils of War,9.8,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,53,50,10.17
7,5,Eastwatch,8.8,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,51,59,10.72
7,6,Beyond the Wall,9,Peter Dinklage,Emilia Clarke,Kit Harington,52,70,10.24
7,7,The Dragon and the Wolf,9.4,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,48,80,12.07
8,1,Winterfell,7.6,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,71,54,11.76
8,2,A Knight of the Seven Kingdoms,7.9,Peter Dinklage,Nikolaj Coster-Waldau,Emilia Clarke,59,58,10.29
8,3,The Long Night,7.5,Peter Dinklage,Nikolaj Coster-Waldau,Emilia Clarke,71,82,12.02
8,4,The Last of the Starks,5.5,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,62,78,11.8
8,5,The Bells,6,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,61,78,12.48
8,6,The Iron Throne,4.1,Peter Dinklage,Nikolaj Coster-Waldau,Lena Headey,70,80,13.61
